"PMID","Reference","Species","Duration","Burden","Diversity","Test","Effect_size"
30458370,"Kumar A, 2019","mouse",21,42,7,"FST",2.01427539745451
30458370,"Kumar A, 2019","mouse",21,42,7,"SPT",-1.90812619936104
30458370,"Kumar A, 2019","mouse",21,42,7,"TST",2.28696846703359
30458370,"Kumar A, 2019","mouse",21,42,7,"EPM",NA
30458370,"Kumar A, 2019","mouse",21,42,7,"OFT",NA
30502341,"Wang D, 2019","mouse",35,70,9,"FST",2.63306695233759
30502341,"Wang D, 2019","mouse",35,70,9,"SPT",-1.78241582586821
30502341,"Wang D, 2019","mouse",35,70,9,"TST",1.08465952307447
30502341,"Wang D, 2019","mouse",35,70,9,"EPM",NA
30502341,"Wang D, 2019","mouse",35,70,9,"OFT",NA
30856395,"Mao M, 2019","mouse",21,84,9,"FST",0.706495655031116
30856395,"Mao M, 2019","mouse",21,84,9,"SPT",NA
30856395,"Mao M, 2019","mouse",21,84,9,"TST",NA
30856395,"Mao M, 2019","mouse",21,84,9,"EPM",-1.21850986821018
30856395,"Mao M, 2019","mouse",21,84,9,"OFT",-0.900179037553957
30954529,"Gao M, 2019","mouse",35,70,9,"FST",2.75058648534093
30954529,"Gao M, 2019","mouse",35,70,9,"SPT",-3.11799464137047
30954529,"Gao M, 2019","mouse",35,70,9,"TST",2.51949462652868
30954529,"Gao M, 2019","mouse",35,70,9,"EPM",NA
30954529,"Gao M, 2019","mouse",35,70,9,"OFT",NA
31439031,"Zhang Y, 2019","mouse",28,NA,9,"FST",1.96181055322833
31439031,"Zhang Y, 2019","mouse",28,NA,9,"SPT",-2.25171594991489
31439031,"Zhang Y, 2019","mouse",28,NA,9,"TST",1.56253158432475
31439031,"Zhang Y, 2019","mouse",28,NA,9,"EPM",NA
31439031,"Zhang Y, 2019","mouse",28,NA,9,"OFT",NA
31790664,"Eid RS, 2020","mouse",28,56,11,"FST",-0.53
31790664,"Eid RS, 2020","mouse",28,56,11,"SPT",0.562962361006467
31790664,"Eid RS, 2020","mouse",28,56,11,"TST",1.36193907675068
31790664,"Eid RS, 2020","mouse",28,56,11,"EPM",NA
31790664,"Eid RS, 2020","mouse",28,56,11,"OFT",NA
31821847,"Kuti D, 2020","mouse",28,56,12,"FST",NA
